fips,net_migration_rate_65plus,net_migrants_65plus,total_expected_65plus,total_pop_2010,pop_65plus_2010,pct_65plus_2010,pct_55_64_2010,seasonal_housing_share_2010,total_pop_2020,pop_65plus_2020,pct_65plus_2020,change_65plus_pct,median_hh_income_2010,median_house_value_2010,healthcare_share_2010,manufacturing_share_2010,Scale,land_area_sqmi,state_fips,state_income_tax_2010,log_pop_2010,pop_density,is_rural,is_metro,is_south,is_west,is_coastal
01001,18.742742083104524,1027.0,5463.0,54571,6546,11.995382162687141,10.73830422752011,0.2800993901061667,55639,8490,15.259080860547458,3.263698697860317,53.255,13.39,0.13052031080948165,0.0,0.78,594.444,01,5.0,10.907257885099419,91.80175087981375,0,0,1,0,0
01003,26.246244845253468,6309.0,24007.0,182265,30568,16.771184813321263,13.461169176748141,0.32961436080760326,218289,44716,20.484770189977507,3.713585376656244,50.147,17.72,0.13445115397393054,0.07076273670633758,1.82,1589.794,01,5.0,12.113216951010822,114.64692909899017,0,1,1,0,1
01005,-6.481304138594804,-270.0,4156.0,27457,3909,14.236806643114688,13.169683505117092,0.32969819934060357,25026,4777,19.08814832574123,4.851341682626542,33.219,8.82,0.09587059442398738,0.45423461336138876,0.19,885.002,01,5.0,10.22037642353585,31.02478864454544,0,0,1,0,0
01007,5.902061096797938,161.0,2717.0,22915,2906,12.68164957451451,11.935413484617063,0.3785769958801915,22374,3676,16.429784571377493,3.748134996862982,41.77,8.12,0.20676691729323307,0.11859193438140807,-0.15,622.461,01,5.0,10.039546996943224,36.813551371089915,0,0,1,0,0
01009,9.119958202716825,703.0,7656.0,57322,8439,14.722096228324203,12.693206796692369,0.33072382467450917,57755,10382,17.975932819669293,3.25383659134509,45.549,11.37,0.13632830716617442,0.21731695942794962,0.23,644.831,01,5.0,10.956439773168713,88.89460959538235,0,0,1,0,0
01011,-3.1910773298083273,-48.0,1513.0,10914,1469,13.459776433938062,12.891698735568994,0.5564210994880926,10173,1638,16.10144500147449,2.6416685675364295,31.602,6.63,0.18017578125,0.0,-1.08,622.806,01,5.0,9.297801647746176,17.52391595456691,0,0,1,0,0
01013,6.1684629516227805,200.0,3266.0,20947,3489,16.65632310116007,13.486418102830955,0.351264552388599,19726,4092,20.744195478049274,4.087872376889205,30.659,7.02,0.0,0.1966028189374774,-1.16,776.839,01,5.0,9.949750717005767,26.964403177492375,0,0,1,0,0
01015,2.50049863180298,408.0,16445.0,118572,16990,14.328846607968154,12.742468710994165,0.3940775769858695,114324,20245,17.70844267170498,3.379596063736825,38.407,9.82,0.16795215285107304,0.16218776217152445,0.22,605.868,01,5.0,11.683275649982964,195.70599536532708,0,1,1,0,0
01017,-1.0262386601535243,-61.0,5732.0,34215,5706,16.676896098202544,13.938331141312291,0.4645965655139967,33427,6530,19.53510635115326,2.858210252950716,31.467,8.22,0.20560443141088303,0.18784620397523624,-0.34,596.561,01,5.0,10.440419423386597,57.353732476645305,0,0,1,0,0
01019,3.739225399684756,167.0,4441.0,25989,4651,17.896032937011814,15.094847820231635,0.47949837093502184,26035,5969,22.926829268292686,5.030796331280872,40.69,9.71,0.12233121754183497,0.2556260819388344,0.64,553.525,01,5.0,10.16542865055825,46.95180886138838,0,0,1,0,0
