Quarter,Coefficient,Lower_CI,Upper_CI,PValue
-4,-0.01950407501422001,-0.06775922248447594,0.028751072456035927,0.42824181255544747
-3,-0.01976154025125042,-0.06777608949631145,0.028253008993810603,0.41984885522077897
-2,-0.020125599815814122,-0.06814306794863698,0.02789186831700873,0.41136450484752074
-1,0.0,0.0,0.0,
0,-0.014458356231225595,-0.06249119622695837,0.03357448376450718,0.5552051917852288
1,-0.013715268074708667,-0.06159100289919836,0.03416046674978103,0.5744615824785396
2,-0.014781898749697134,-0.06265843036985734,0.033094632870463075,0.5450794408602924
3,-0.014376316142934536,-0.06225391697112094,0.03350128468525186,0.5561747669309561
4,-0.014415184512259063,-0.06276458709193707,0.033934218067418934,0.5589745067984895
