AGEP,HINCP,TEN,SPORDER,PWGTP,WGTP,PUMA,state,puma_int
70,30200,1,1,86,87,04103,36,4103
79,587300,2,1,125,124,04108,36,4108
72,343000,2,1,57,56,04109,36,4109
75,158000,2,1,183,182,04165,36,4165
70,22000,2,1,90,90,04121,36,4121
74,21700,1,1,43,42,04108,36,4108
75,302300,2,1,226,225,04107,36,4107
76,32000,2,1,130,130,04108,36,4108
86,129000,2,1,64,63,04112,36,4112
71,185700,2,1,61,61,04108,36,4108
66,85000,1,1,53,52,04110,36,4110
69,304000,2,1,108,108,04108,36,4108
66,170200,2,1,92,92,04108,36,4108
71,54300,2,1,62,62,04121,36,4121
76,168000,2,1,152,153,04165,36,4165
77,1035000,2,1,75,75,04108,36,4108
95,59100,2,1,965,965,04108,36,4108
84,88000,2,1,430,430,04165,36,4165
70,220000,2,1,100,100,04165,36,4165
80,286900,2,1,188,187,04109,36,4109
82,78400,2,1,69,69,04165,36,4165
78,224900,2,1,82,83,04121,36,4121
68,118000,2,1,126,126,04165,36,4165
71,172000,1,1,186,186,04109,36,4109
80,52300,2,1,116,117,04107,36,4107
70,240320,2,1,761,761,04121,36,4121
70,19350,1,1,132,132,04165,36,4165
91,225000,1,1,138,138,04108,36,4108
75,82800,2,1,99,99,04107,36,4107
69,176500,2,1,66,66,04108,36,4108
73,54200,2,1,520,519,04109,36,4109
75,343000,2,1,66,66,04104,36,4104
80,65000,1,1,65,64,04112,36,4112
77,137000,1,1,162,162,04121,36,4121
74,500800,2,1,109,109,04107,36,4107
90,333000,2,1,365,364,04108,36,4108
72,322800,1,1,149,149,04110,36,4110
73,76400,2,1,138,138,04103,36,4103
75,157900,1,1,67,67,04165,36,4165
76,64400,2,1,141,141,04121,36,4121
68,385000,2,1,114,114,04109,36,4109
95,16000,2,1,100,100,04107,36,4107
82,73200,2,1,95,96,04121,36,4121
68,379000,1,1,107,106,04108,36,4108
79,150500,2,1,150,150,04108,36,4108
77,330500,2,1,128,129,04107,36,4107
72,94300,2,1,197,198,04107,36,4107
89,22000,2,1,33,33,04103,36,4103
66,304000,2,1,159,160,04112,36,4112
66,7500,1,1,228,228,04108,36,4108
70,18600,1,1,84,84,04103,36,4103
65,18700,2,1,116,116,04104,36,4104
85,32100,2,1,118,118,04103,36,4103
80,7000,2,1,37,37,04112,36,4112
66,393800,2,1,113,112,04165,36,4165
88,62400,2,1,46,45,04165,36,4165
66,75000,1,1,94,94,04103,36,4103
76,251000,2,1,96,96,04108,36,4108
76,35350,1,1,76,76,04110,36,4110
73,11800,1,1,276,276,04107,36,4107
73,81100,2,1,251,250,04165,36,4165
66,120000,2,1,100,100,04110,36,4110
68,263000,1,1,133,133,04104,36,4104
90,61800,2,1,36,36,04103,36,4103
78,125000,2,1,101,101,04107,36,4107
78,676600,2,1,114,114,04165,36,4165
73,57200,2,1,149,149,04112,36,4112
71,258000,1,1,122,122,04108,36,4108
67,16800,1,1,100,101,04110,36,4110
66,50000,1,1,135,135,04165,36,4165
65,17000,2,1,120,119,04112,36,4112
67,58000,2,1,137,137,04108,36,4108
66,81000,2,1,138,138,04109,36,4109
71,213000,2,1,61,61,04108,36,4108
69,49000,2,1,461,461,04165,36,4165
83,26400,2,1,182,182,04112,36,4112
87,32700,2,1,106,106,04110,36,4110
83,95500,2,1,232,232,04107,36,4107
69,232800,1,1,50,50,04112,36,4112
79,475000,2,1,95,95,04108,36,4108
82,179500,2,1,107,106,04108,36,4108
70,59000,1,1,193,193,04107,36,4107
74,293000,2,1,102,102,04107,36,4107
73,102100,1,1,75,75,04112,36,4112
65,300000,2,1,44,43,04165,36,4165
67,709400,2,1,181,181,04107,36,4107
68,12000,2,1,177,176,04103,36,4103
66,1046000,2,1,60,60,04104,36,4104
85,304300,2,1,132,132,04108,36,4108
95,1126000,2,1,107,107,04107,36,4107
79,198800,2,1,53,53,04112,36,4112
91,529100,1,1,324,324,04165,36,4165
71,57000,2,1,95,96,04165,36,4165
90,4400,2,1,107,107,04103,36,4103
80,33100,2,1,121,121,04165,36,4165
84,58000,2,1,217,216,04104,36,4104
68,87000,2,1,75,75,04110,36,4110
87,129000,1,1,238,238,04165,36,4165
83,230000,2,1,140,140,04121,36,4121
95,33800,2,1,173,173,04107,36,4107
74,130800,2,1,68,69,04112,36,4112
88,830000,2,1,400,400,04107,36,4107
95,145000,1,1,92,92,04108,36,4108
76,65000,2,1,164,164,04107,36,4107
74,77500,1,1,268,269,04107,36,4107
83,45900,2,1,131,131,04108,36,4108
68,182000,1,1,189,189,04104,36,4104
95,365800,2,1,92,92,04107,36,4107
65,41000,2,1,127,127,04108,36,4108
67,319000,1,1,51,51,04104,36,4104
72,1072600,1,1,84,84,04108,36,4108
77,183300,2,1,95,95,04107,36,4107
88,10800,2,1,65,66,04165,36,4165
81,212000,2,1,67,67,04103,36,4103
70,156000,2,1,329,329,04107,36,4107
76,80000,1,1,46,47,04108,36,4108
78,89030,2,1,120,120,04121,36,4121
82,8700,2,1,283,284,04107,36,4107
70,76300,1,1,374,373,04108,36,4108
69,66600,2,1,113,113,04107,36,4107
77,103300,1,1,125,125,04108,36,4108
95,116000,2,1,179,180,04107,36,4107
73,213000,2,1,307,307,04108,36,4108
68,515780,2,1,103,103,04121,36,4121
79,59000,2,1,332,332,04107,36,4107
65,115400,1,1,48,49,04108,36,4108
73,154300,1,1,114,114,04108,36,4108
76,66100,2,1,202,202,04165,36,4165
81,376900,2,1,266,267,04165,36,4165
72,222000,2,1,203,203,04107,36,4107
70,214000,1,1,227,228,04165,36,4165
66,17000,2,1,227,228,04111,36,4111
70,47700,2,1,123,124,04165,36,4165
68,114000,2,1,398,398,04103,36,4103
79,28000,1,1,273,273,04107,36,4107
87,169900,2,1,188,188,04109,36,4109
69,104100,2,1,99,99,04112,36,4112
79,1195000,1,1,271,271,04104,36,4104
67,777000,2,1,129,129,04165,36,4165
74,344000,1,1,100,100,04108,36,4108
75,95500,1,1,122,122,04108,36,4108
65,313500,2,1,132,132,04121,36,4121
74,130000,2,1,113,113,04165,36,4165
65,83000,1,1,64,64,04108,36,4108
77,28600,2,1,58,57,04111,36,4111
70,59000,2,1,111,110,04107,36,4107
81,343000,2,1,303,302,04108,36,4108
71,90600,2,1,127,128,04110,36,4110
89,404000,2,1,83,84,04108,36,4108
72,192200,2,1,162,162,04109,36,4109
82,339000,2,1,71,71,04108,36,4108
90,28000,2,1,117,117,04107,36,4107
68,96100,1,1,301,301,04108,36,4108
80,258200,2,1,95,96,04109,36,4109
69,55000,2,1,114,114,04165,36,4165
69,55000,2,1,133,134,04165,36,4165
75,1111300,2,1,180,181,04107,36,4107
83,94500,1,1,103,103,04107,36,4107
68,832000,2,1,128,129,04108,36,4108
66,73000,2,1,54,54,04108,36,4108
76,127300,2,1,174,174,04107,36,4107
70,64000,1,1,394,394,04103,36,4103
83,74800,2,1,101,101,04107,36,4107
