AGEP,HINCP,TEN,SPORDER,PWGTP,WGTP,PUMA,state,puma_int
82,12000,1,1,30,31,04010,36,4010
67,57500,2,1,22,22,03808,36,3808
79,36400,2,1,12,12,04110,36,4110
74,22700,2,1,11,12,04101,36,4101
77,48800,2,1,14,15,03709,36,3709
72,24060,2,1,32,31,04011,36,4011
65,43800,1,1,8,7,04105,36,4105
68,209200,1,1,13,13,03806,36,3806
84,144300,2,1,17,18,03805,36,3805
77,15300,2,1,12,12,04014,36,4014
75,279300,1,1,17,17,04004,36,4004
72,48500,1,1,19,18,04008,36,4008
68,24900,1,1,10,11,04103,36,4103
94,85700,2,1,63,64,04004,36,4004
70,46800,1,1,16,15,03901,36,3901
68,157500,1,1,18,18,04103,36,4103
80,40500,1,1,16,16,04006,36,4006
81,22800,2,1,16,15,04010,36,4010
80,36300,2,1,17,16,04103,36,4103
70,127900,2,1,13,13,04107,36,4107
78,22600,1,1,10,10,04104,36,4104
65,32500,2,1,20,20,04103,36,4103
66,32400,1,1,17,17,04002,36,4002
71,112000,2,1,22,22,03810,36,3810
87,15000,1,1,18,18,03810,36,3810
83,220360,1,1,20,20,03806,36,3806
72,10500,2,1,21,21,03808,36,3808
73,41100,1,1,13,13,04107,36,4107
67,89010,1,1,26,26,04114,36,4114
85,16000,2,1,12,12,04104,36,4104
65,27000,2,1,29,28,04003,36,4003
74,13300,2,1,19,18,04016,36,4016
74,28100,1,1,10,11,04105,36,4105
72,4800,2,1,28,27,04112,36,4112
78,77000,2,1,18,18,03808,36,3808
70,19300,2,1,14,14,03809,36,3809
70,26900,2,1,22,22,04113,36,4113
71,28400,2,1,16,17,03709,36,3709
66,5320,1,1,16,17,04009,36,4009
68,31900,2,1,10,11,04103,36,4103
66,97000,2,1,29,28,04013,36,4013
68,26300,2,1,7,8,03702,36,3702
66,12000,2,1,20,20,03702,36,3702
94,387000,1,1,19,19,03805,36,3805
70,26000,2,1,12,13,04110,36,4110
66,21900,1,1,16,16,03702,36,3702
75,100700,2,1,12,12,04009,36,4009
74,45700,2,1,12,12,04104,36,4104
65,71300,2,1,54,53,03806,36,3806
76,23600,2,1,14,15,04104,36,4104
65,49000,2,1,10,10,04008,36,4008
78,36300,2,1,16,15,04016,36,4016
71,11000,1,1,14,15,03901,36,3901
78,18900,2,1,33,33,04102,36,4102
90,12000,2,1,16,15,04016,36,4016
79,41040,2,1,18,17,04110,36,4110
83,65700,2,1,14,13,04113,36,4113
73,13300,2,1,21,21,03902,36,3902
69,237000,2,1,12,13,04004,36,4004
66,191800,1,1,22,21,04104,36,4104
69,102300,2,1,6,7,04113,36,4113
66,8600,2,1,8,8,03704,36,3704
78,98600,1,1,12,12,04110,36,4110
78,16800,2,1,31,32,04012,36,4012
94,77100,2,1,12,11,03701,36,3701
74,65800,2,1,26,26,04103,36,4103
76,223300,1,1,68,68,03805,36,3805
65,188000,2,1,42,42,04103,36,4103
79,13200,2,1,22,22,03806,36,3806
94,17900,2,1,17,17,04110,36,4110
66,68000,1,1,41,41,04010,36,4010
78,10200,2,1,16,16,03703,36,3703
69,81200,1,1,34,34,04102,36,4102
69,49700,2,1,8,8,04013,36,4013
65,183500,2,1,13,13,03902,36,3902
81,10000,2,1,17,18,04114,36,4114
81,29200,1,1,23,23,04113,36,4113
70,73000,2,1,14,13,04005,36,4005
66,15500,1,1,25,25,04104,36,4104
70,23800,2,1,12,12,04112,36,4112
89,21600,2,1,20,19,04103,36,4103
81,63800,2,1,12,13,04111,36,4111
76,16100,2,1,31,31,04104,36,4104
85,54300,2,1,11,12,04018,36,4018
72,42000,1,1,14,14,03704,36,3704
69,376000,2,1,16,15,03807,36,3807
76,48300,2,1,16,16,04108,36,4108
71,50100,1,1,31,30,04010,36,4010
68,48200,2,1,17,18,04011,36,4011
69,27600,2,1,14,14,04105,36,4105
80,13200,2,1,29,30,04018,36,4018
82,24000,2,1,15,15,04009,36,4009
77,38050,1,1,13,13,04003,36,4003
69,177200,1,1,10,11,04017,36,4017
94,11000,2,1,16,16,04103,36,4103
67,0,2,1,14,14,03809,36,3809
66,31500,2,1,21,21,03703,36,3703
76,9000,2,1,8,8,04105,36,4105
79,195000,2,1,22,22,03805,36,3805
82,284000,1,1,24,24,03808,36,3808
80,87400,2,1,18,18,04009,36,4009
87,16700,2,1,19,19,04113,36,4113
67,45000,1,1,22,21,04018,36,4018
67,66650,2,1,5,4,04016,36,4016
73,77800,1,1,10,10,04015,36,4015
78,7700,2,1,16,17,04017,36,4017
65,42000,2,1,6,6,03902,36,3902
72,189000,2,1,14,14,04104,36,4104
68,33000,1,1,18,19,04002,36,4002
88,77300,2,1,40,41,04112,36,4112
72,31500,2,1,22,21,03807,36,3807
65,175000,1,1,24,25,04113,36,4113
71,12800,2,1,15,15,03901,36,3901
70,47000,1,1,25,25,04113,36,4113
94,27000,2,1,61,60,03810,36,3810
66,67200,2,1,20,20,04102,36,4102
65,124800,2,1,11,10,04001,36,4001
72,558200,1,1,17,17,04110,36,4110
77,32700,2,1,40,40,04017,36,4017
66,77710,1,1,26,26,03901,36,3901
65,53600,2,1,17,16,04010,36,4010
69,21800,1,1,18,18,04107,36,4107
80,58600,1,1,15,15,04109,36,4109
74,29900,2,1,11,11,04013,36,4013
71,18400,2,1,21,21,03902,36,3902
84,33800,2,1,5,5,04112,36,4112
74,59200,2,1,14,15,04009,36,4009
94,9600,2,1,19,19,04108,36,4108
82,85800,2,1,13,12,04105,36,4105
80,9900,2,1,18,18,04015,36,4015
67,67300,1,1,10,10,04113,36,4113
71,19900,2,1,15,15,04103,36,4103
72,41100,2,1,16,15,04016,36,4016
66,88000,1,1,13,13,03702,36,3702
72,86000,2,1,16,16,04018,36,4018
67,139300,2,1,36,35,04102,36,4102
76,93700,1,1,16,16,04104,36,4104
65,81900,2,1,27,26,04011,36,4011
79,62400,2,1,18,18,03804,36,3804
90,32000,2,1,17,16,03704,36,3704
77,26100,1,1,4,5,04112,36,4112
74,31400,1,1,12,12,04105,36,4105
82,19100,1,1,13,14,04008,36,4008
69,19700,2,1,18,19,04108,36,4108
73,80560,2,1,16,16,04107,36,4107
80,35500,2,1,14,14,04103,36,4103
65,10000,1,1,43,44,03709,36,3709
79,107800,2,1,22,22,03806,36,3806
73,25200,2,1,17,16,03703,36,3703
72,29400,2,1,11,11,04112,36,4112
74,162600,2,1,14,15,04114,36,4114
88,32000,2,1,16,15,04102,36,4102
77,1300,1,1,17,18,03703,36,3703
76,34900,2,1,16,16,04114,36,4114
68,8400,2,1,14,14,04009,36,4009
69,98800,2,1,12,12,04014,36,4014
94,69700,2,1,13,13,04103,36,4103
73,49200,2,1,17,17,04105,36,4105
75,179000,1,1,17,17,03806,36,3806
65,127730,1,1,4,5,04009,36,4009
73,44400,2,1,15,15,03704,36,3704
71,94900,2,1,8,8,04112,36,4112
70,48300,2,1,18,19,03805,36,3805
82,13200,2,1,8,7,04112,36,4112
65,18000,2,1,14,14,03709,36,3709
67,35900,2,1,19,19,04104,36,4104
68,67000,1,1,11,11,04103,36,4103
84,18000,2,1,15,15,03902,36,3902
66,211900,1,1,14,14,04005,36,4005
78,87300,1,1,38,38,04105,36,4105
71,152050,1,1,31,30,04003,36,4003
72,29990,1,1,33,33,04010,36,4010
73,62010,1,1,18,19,03808,36,3808
78,79600,2,1,9,9,04111,36,4111
80,25500,2,1,16,16,04105,36,4105
75,76000,2,1,6,6,04008,36,4008
69,28000,2,1,12,12,04009,36,4009
73,64000,1,1,28,27,04009,36,4009
80,26400,2,1,18,17,03701,36,3701
68,53400,2,1,27,27,04001,36,4001
82,29350,1,1,16,16,04008,36,4008
65,188300,1,1,8,8,04106,36,4106
74,26600,1,1,14,13,04009,36,4009
74,103100,2,1,35,35,03803,36,3803
75,52000,1,1,20,20,03806,36,3806
65,140800,2,1,23,23,03702,36,3702
69,11500,2,1,30,30,04112,36,4112
76,34800,1,1,52,51,03901,36,3901
75,41200,2,1,11,10,04113,36,4113
69,99120,2,1,14,13,04111,36,4111
70,54100,1,1,18,17,03901,36,3901
94,16000,2,1,13,13,04112,36,4112
85,10500,2,1,17,18,04102,36,4102
67,66300,1,1,12,12,04104,36,4104
70,65600,1,1,15,16,04103,36,4103
71,101580,1,1,8,8,04013,36,4013
88,16500,2,1,8,9,04102,36,4102
81,41500,2,1,17,17,03701,36,3701
74,232400,2,1,16,16,04103,36,4103
77,82000,2,1,20,20,04103,36,4103
69,72200,1,1,15,15,04016,36,4016
86,64800,2,1,12,12,03702,36,3702
77,22400,2,1,44,44,03703,36,3703
81,10300,2,1,17,17,04012,36,4012
78,53300,2,1,16,16,04016,36,4016
82,16800,2,1,14,14,04017,36,4017
83,27000,2,1,17,18,03808,36,3808
68,992800,1,1,18,17,03810,36,3810
69,13800,1,1,14,14,04103,36,4103
66,24700,1,1,14,15,03901,36,3901
76,6300,2,1,13,13,03901,36,3901
76,23600,2,1,9,10,04016,36,4016
84,74000,2,1,17,17,04012,36,4012
73,40800,2,1,16,15,04018,36,4018
90,16000,2,1,14,14,03709,36,3709
67,69000,1,1,56,55,03710,36,3710
68,21000,2,1,15,15,04010,36,4010
78,37200,1,1,12,12,04109,36,4109
84,29000,1,1,18,17,04108,36,4108
68,21300,2,1,15,15,03803,36,3803
74,66000,2,1,16,15,04106,36,4106
82,167000,2,1,27,26,04003,36,4003
77,265500,1,1,20,20,03810,36,3810
84,55100,2,1,18,17,04105,36,4105
69,129200,2,1,13,13,04112,36,4112
81,23700,2,1,20,19,03901,36,3901
71,6000,1,1,18,18,04010,36,4010
85,240100,2,1,12,12,04106,36,4106
75,148900,1,1,26,26,03805,36,3805
66,52000,2,1,16,16,03801,36,3801
77,31000,2,1,41,41,04101,36,4101
69,73200,2,1,19,19,03807,36,3807
66,59940,2,1,20,19,04103,36,4103
74,30000,1,1,34,35,04016,36,4016
69,27300,2,1,23,23,04103,36,4103
73,42000,1,1,14,14,04006,36,4006
75,23700,2,1,15,15,03903,36,3903
77,13300,2,1,17,17,03901,36,3901
69,92100,2,1,16,16,03903,36,3903
67,32800,2,1,15,14,04111,36,4111
66,80000,1,1,15,15,03701,36,3701
66,190800,1,1,20,19,03704,36,3704
71,27600,2,1,18,17,04102,36,4102
71,11000,2,1,18,19,04102,36,4102
65,12000,1,1,22,22,04113,36,4113
72,122600,1,1,15,14,03902,36,3902
76,115100,1,1,14,13,04103,36,4103
71,12850,2,1,62,63,03806,36,3806
68,222000,2,1,13,13,04013,36,4013
75,148900,2,1,16,16,04109,36,4109
73,79100,2,1,12,13,04109,36,4109
73,14200,1,1,19,19,04107,36,4107
72,12900,2,1,16,16,03901,36,3901
70,21800,1,1,20,20,03901,36,3901
67,41800,2,1,11,10,04110,36,4110
76,106200,2,1,71,71,03703,36,3703
81,7200,2,1,43,44,04105,36,4105
85,179540,2,1,19,19,04108,36,4108
75,36000,2,1,34,34,03702,36,3702
68,29900,1,1,23,22,04105,36,4105
81,22600,2,1,14,14,04110,36,4110
67,159400,1,1,8,7,04004,36,4004
65,32700,2,1,13,13,04012,36,4012
76,18400,2,1,17,17,03703,36,3703
70,75500,1,1,15,15,04105,36,4105
94,21610,2,1,15,14,04104,36,4104
75,20400,2,1,15,15,04103,36,4103
80,79100,2,1,13,13,04011,36,4011
84,20400,1,1,19,18,04010,36,4010
65,83100,2,1,15,15,04011,36,4011
71,16500,2,1,20,21,04103,36,4103
85,107800,2,1,15,15,04012,36,4012
74,49400,2,1,18,18,04102,36,4102
68,118200,2,1,31,31,04006,36,4006
69,186000,1,1,22,22,04007,36,4007
71,110100,2,1,15,15,04105,36,4105
84,32000,2,1,8,8,04103,36,4103
68,15000,2,1,25,25,04014,36,4014
75,45000,2,1,29,28,04008,36,4008
78,8700,2,1,15,15,04014,36,4014
94,130000,2,1,22,21,03806,36,3806
80,25700,2,1,17,17,04106,36,4106
76,20500,1,1,12,13,04105,36,4105
68,76100,1,1,26,26,04011,36,4011
72,13800,1,1,18,18,04006,36,4006
85,21100,1,1,14,14,03902,36,3902
65,49300,2,1,16,17,04113,36,4113
71,79900,1,1,10,10,04009,36,4009
94,44200,2,1,31,31,03805,36,3805
65,258100,2,1,20,19,03805,36,3805
76,271800,2,1,10,10,04108,36,4108
84,44600,2,1,24,24,04018,36,4018
94,25400,2,1,18,17,04105,36,4105
79,59700,2,1,44,44,03703,36,3703
66,61900,1,1,18,17,03704,36,3704
69,60530,1,1,17,17,04110,36,4110
71,11000,2,1,48,48,04008,36,4008
94,46900,2,1,9,9,04015,36,4015
82,123400,2,1,19,19,04002,36,4002
76,17800,2,1,12,12,04009,36,4009
70,90750,2,1,13,14,04012,36,4012
69,57200,1,1,13,13,03901,36,3901
71,16200,2,1,29,29,04009,36,4009
71,51900,1,1,6,6,03902,36,3902
69,137400,2,1,24,23,03808,36,3808
74,49900,1,1,22,23,03703,36,3703
76,72100,1,1,12,13,04017,36,4017
72,106000,2,1,19,19,03810,36,3810
73,63700,2,1,16,16,04111,36,4111
94,18600,2,1,12,13,04110,36,4110
68,72700,1,1,11,11,03704,36,3704
65,38600,2,1,2,2,04109,36,4109
73,82700,1,1,26,26,04104,36,4104
79,53400,2,1,27,27,04105,36,4105
65,47600,1,1,31,30,04016,36,4016
82,48670,2,1,23,23,04105,36,4105
83,28700,1,1,34,35,04105,36,4105
82,26200,2,1,18,19,03903,36,3903
71,20300,1,1,17,16,03901,36,3901
67,119000,2,1,19,19,03805,36,3805
80,42000,2,1,14,13,03806,36,3806
66,93800,1,1,10,11,04014,36,4014
73,55600,2,1,11,11,04108,36,4108
71,84900,2,1,43,44,04109,36,4109
69,56600,1,1,22,21,03806,36,3806
82,43700,2,1,12,12,03709,36,3709
77,31690,2,1,15,15,03702,36,3702
72,19600,2,1,6,5,04104,36,4104
83,21700,2,1,21,21,04105,36,4105
77,5700,2,1,21,21,04105,36,4105
94,36000,2,1,18,19,03805,36,3805
66,69500,2,1,35,34,03702,36,3702
81,31470,2,1,17,18,03901,36,3901
73,209000,1,1,11,10,04001,36,4001
76,42700,2,1,5,5,04101,36,4101
81,18800,1,1,17,18,04006,36,4006
73,59004,2,1,19,20,04017,36,4017
68,99600,2,1,32,32,04110,36,4110
75,34500,2,1,14,14,04109,36,4109
90,15100,2,1,27,27,03703,36,3703
75,67100,2,1,20,20,03807,36,3807
77,118180,2,1,18,19,04103,36,4103
67,134100,2,1,24,24,03901,36,3901
78,71000,2,1,15,15,04110,36,4110
72,122120,2,1,11,11,04106,36,4106
80,12500,2,1,53,54,03902,36,3902
78,38000,1,1,26,26,03808,36,3808
74,134400,1,1,25,25,03709,36,3709
67,9200,1,1,11,10,04016,36,4016
65,67200,2,1,14,14,04103,36,4103
94,54000,2,1,14,14,04107,36,4107
67,12000,2,1,8,7,04002,36,4002
77,84850,2,1,8,8,04113,36,4113
71,43400,2,1,6,5,04105,36,4105
67,34500,1,1,16,16,04103,36,4103
70,127500,2,1,14,14,04005,36,4005
80,115000,2,1,18,17,04103,36,4103
77,23100,2,1,17,18,04103,36,4103
71,5120,2,1,9,9,04112,36,4112
82,60700,2,1,15,15,04014,36,4014
67,361400,2,1,19,20,04105,36,4105
74,45200,2,1,10,9,04107,36,4107
78,23330,2,1,21,21,04107,36,4107
70,76560,2,1,11,10,04016,36,4016
65,512000,1,1,16,16,03804,36,3804
72,138640,1,1,29,29,04010,36,4010
66,52200,1,1,34,34,04010,36,4010
75,31300,2,1,19,19,04105,36,4105
73,5500,2,1,12,13,04108,36,4108
80,69200,2,1,15,15,04008,36,4008
67,158000,2,1,15,15,04104,36,4104
83,15500,2,1,20,21,04112,36,4112
79,18100,2,1,15,16,04105,36,4105
77,48090,2,1,17,17,04101,36,4101
73,19200,2,1,14,14,04101,36,4101
72,141400,2,1,19,19,04006,36,4006
75,54520,1,1,14,14,04112,36,4112
89,30000,2,1,9,9,04111,36,4111
81,9900,2,1,15,16,04009,36,4009
70,32000,1,1,21,22,03805,36,3805
76,32300,2,1,14,14,04110,36,4110
72,59700,1,1,10,10,04113,36,4113
89,37200,1,1,18,19,03805,36,3805
76,35300,2,1,39,40,04113,36,4113
66,54000,2,1,19,19,04113,36,4113
68,28400,2,1,25,25,03703,36,3703
94,22000,2,1,16,17,03704,36,3704
65,65000,1,1,27,27,04016,36,4016
66,26000,2,1,15,15,04109,36,4109
84,10900,2,1,23,23,04113,36,4113
77,113650,1,1,58,59,04010,36,4010
66,86600,2,1,11,10,04110,36,4110
77,60000,2,1,12,11,03703,36,3703
87,11300,2,1,19,19,03802,36,3802
69,76800,1,1,8,8,04105,36,4105
67,79300,2,1,20,21,04101,36,4101
70,100900,2,1,18,18,04103,36,4103
89,21500,2,1,24,24,04009,36,4009
72,42600,2,1,14,14,04108,36,4108
67,217800,1,1,13,12,04108,36,4108
70,146000,2,1,11,12,04113,36,4113
89,19700,2,1,19,19,04105,36,4105
70,33700,2,1,15,15,04016,36,4016
88,22200,2,1,14,14,03809,36,3809
81,21500,2,1,17,18,03704,36,3704
66,190500,2,1,14,15,03807,36,3807
65,112580,2,1,14,14,03903,36,3903
69,27800,2,1,23,23,04103,36,4103
83,30000,2,1,13,12,04110,36,4110
70,58200,2,1,13,13,03902,36,3902
77,29700,1,1,23,23,04105,36,4105
79,72400,2,1,22,22,03901,36,3901
75,37200,2,1,12,12,04017,36,4017
89,40000,2,1,21,21,03902,36,3902
69,137900,1,1,13,13,04105,36,4105
67,23000,2,1,10,11,04017,36,4017
69,145000,2,1,14,14,03805,36,3805
85,15430,2,1,14,14,04105,36,4105
75,12000,1,1,14,14,04010,36,4010
94,10700,2,1,21,21,04107,36,4107
71,22400,2,1,15,15,04016,36,4016
66,12100,2,1,14,14,04018,36,4018
83,127000,2,1,19,20,04103,36,4103
73,39600,2,1,16,15,04101,36,4101
75,17600,2,1,14,14,04109,36,4109
70,25200,2,1,13,14,04104,36,4104
80,62000,2,1,19,18,03901,36,3901
86,50400,1,1,12,13,04014,36,4014
78,28000,1,1,15,15,03903,36,3903
84,21100,2,1,23,23,03810,36,3810
78,1400,2,1,14,15,03703,36,3703
66,26700,2,1,17,17,03703,36,3703
74,85800,2,1,14,14,03709,36,3709
71,40800,2,1,25,26,04009,36,4009
70,149170,1,1,13,13,04112,36,4112
78,29000,2,1,18,17,03709,36,3709
65,20200,1,1,13,13,04007,36,4007
70,184750,2,1,11,11,04013,36,4013
80,64100,2,1,15,16,03705,36,3705
78,61000,1,1,15,15,03810,36,3810
84,123100,2,1,20,20,04108,36,4108
65,7810,2,1,32,32,04108,36,4108
80,63000,2,1,13,13,03901,36,3901
69,241500,2,1,16,16,04016,36,4016
76,19200,2,1,19,19,03703,36,3703
74,18400,1,1,12,12,04014,36,4014
70,289600,1,1,25,25,03810,36,3810
69,214200,1,1,17,17,04110,36,4110
86,18700,2,1,13,13,03901,36,3901
80,13900,2,1,20,20,04106,36,4106
69,12000,1,1,52,52,03703,36,3703
76,28600,2,1,18,18,04104,36,4104
75,163500,1,1,15,16,04101,36,4101
78,33000,2,1,44,44,04103,36,4103
65,40800,2,1,13,13,03903,36,3903
88,3600,2,1,22,21,03901,36,3901
87,20000,2,1,13,14,04110,36,4110
75,5200,2,1,14,14,04110,36,4110
65,92900,2,1,15,15,04114,36,4114
84,23000,2,1,19,20,04103,36,4103
76,16200,2,1,16,16,04009,36,4009
70,63400,1,1,16,16,03807,36,3807
69,191400,2,1,5,5,04105,36,4105
69,92840,2,1,20,20,03702,36,3702
68,53500,1,1,69,69,04009,36,4009
69,28100,1,1,18,17,04112,36,4112
71,35400,2,1,16,16,04106,36,4106
78,123900,2,1,16,16,04014,36,4014
80,66000,2,1,12,12,04110,36,4110
76,47700,2,1,55,55,04004,36,4004
84,78400,2,1,34,35,03703,36,3703
74,24700,2,1,15,15,04104,36,4104
76,65400,2,1,6,6,03902,36,3902
85,40000,2,1,39,39,04106,36,4106
80,190700,2,1,71,72,04103,36,4103
72,165800,1,1,26,26,04106,36,4106
65,382000,1,1,23,23,03807,36,3807
69,115800,1,1,24,24,03802,36,3802
73,55500,2,1,32,32,04105,36,4105
81,29700,2,1,11,10,04009,36,4009
80,100030,2,1,5,4,04018,36,4018
75,96000,2,1,3,3,04103,36,4103
74,88900,2,1,17,17,04105,36,4105
67,49100,1,1,10,10,03704,36,3704
73,54500,2,1,19,18,04103,36,4103
69,22000,2,1,15,15,04105,36,4105
90,40000,2,1,16,17,04114,36,4114
76,34130,2,1,13,13,04104,36,4104
76,73000,2,1,66,66,03808,36,3808
90,25500,2,1,17,16,04015,36,4015
72,51000,2,1,42,42,03808,36,3808
67,60140,2,1,5,5,04109,36,4109
68,38600,1,1,21,21,04017,36,4017
67,54900,1,1,20,20,03701,36,3701
66,31700,1,1,12,13,04111,36,4111
69,23400,2,1,23,23,04013,36,4013
68,25610,1,1,18,18,04104,36,4104
84,12000,2,1,26,26,04101,36,4101
82,25200,2,1,27,27,04016,36,4016
73,41500,2,1,17,17,03701,36,3701
66,69300,2,1,8,8,04004,36,4004
82,15600,2,1,18,17,04104,36,4104
83,77400,2,1,14,13,04015,36,4015
65,345250,1,1,22,22,03806,36,3806
70,66770,2,1,10,10,04107,36,4107
75,50000,1,1,21,21,04016,36,4016
67,16000,1,1,23,23,03808,36,3808
79,56350,2,1,69,69,04004,36,4004
65,166700,1,1,17,17,04105,36,4105
65,101500,1,1,18,18,04106,36,4106
65,6000,2,1,11,11,04016,36,4016
80,44930,1,1,17,17,03806,36,3806
68,126800,1,1,16,16,04105,36,4105
80,109000,1,1,10,11,03808,36,3808
73,73001,2,1,17,16,04016,36,4016
68,29600,1,1,9,10,03903,36,3903
71,66800,2,1,32,32,04114,36,4114
70,53400,2,1,10,10,04101,36,4101
70,181250,1,1,10,11,04017,36,4017
72,68000,1,1,14,14,04013,36,4013
66,42600,2,1,13,13,03902,36,3902
76,30900,2,1,28,28,04106,36,4106
78,12600,2,1,8,9,04111,36,4111
74,65500,2,1,56,55,04009,36,4009
73,268600,1,1,14,14,04112,36,4112
78,104900,2,1,11,11,04110,36,4110
71,25300,2,1,16,16,04006,36,4006
87,77400,2,1,10,11,03701,36,3701
65,240580,1,1,17,17,03902,36,3902
87,34500,1,1,15,15,04103,36,4103
67,46300,1,1,55,55,04112,36,4112
65,3900,2,1,12,13,03903,36,3903
68,19800,2,1,12,12,04015,36,4015
87,22200,2,1,10,11,03702,36,3702
76,87500,2,1,15,15,04101,36,4101
72,88000,1,1,28,28,04112,36,4112
74,18300,1,1,20,20,03709,36,3709
87,37600,2,1,22,22,04113,36,4113
65,47100,2,1,34,33,04107,36,4107
65,83820,1,1,7,8,04107,36,4107
66,115200,1,1,13,14,03703,36,3703
85,10000,2,1,14,14,03809,36,3809
68,29300,1,1,11,11,04017,36,4017
69,120600,1,1,3,4,04104,36,4104
71,69200,2,1,12,12,04013,36,4013
68,10900,2,1,16,16,04002,36,4002
78,5600,1,1,12,13,03901,36,3901
74,16900,1,1,24,23,03702,36,3702
75,17800,2,1,11,11,04102,36,4102
66,158500,1,1,22,22,03902,36,3902
68,91000,2,1,18,18,04109,36,4109
79,195000,2,1,13,14,04016,36,4016
65,66900,2,1,15,16,04010,36,4010
68,73400,1,1,15,14,04009,36,4009
73,85500,2,1,18,18,03901,36,3901
83,8000,2,1,13,13,04102,36,4102
79,10200,2,1,17,17,04113,36,4113
65,62000,1,1,17,17,04003,36,4003
76,22200,2,1,10,10,03705,36,3705
68,46790,2,1,60,61,03703,36,3703
71,564700,2,1,18,18,03802,36,3802
76,7900,2,1,14,14,04016,36,4016
78,37900,2,1,17,16,04103,36,4103
81,82500,2,1,13,13,04114,36,4114
71,52450,1,1,18,18,04012,36,4012
68,121400,2,1,14,14,04015,36,4015
77,133720,2,1,10,10,04018,36,4018
77,87200,2,1,17,16,03806,36,3806
68,37500,2,1,3,3,04112,36,4112
74,51800,1,1,12,12,04112,36,4112
73,184600,2,1,14,14,04108,36,4108
78,11200,2,1,13,13,03809,36,3809
86,32400,2,1,11,11,04017,36,4017
80,173000,2,1,12,12,04013,36,4013
82,16000,1,1,17,18,04113,36,4113
67,189000,2,1,16,15,03808,36,3808
71,11700,2,1,16,16,04103,36,4103
78,39400,2,1,21,21,04110,36,4110
84,24000,2,1,16,16,04105,36,4105
70,88900,2,1,9,10,04016,36,4016
81,36770,2,1,12,12,04013,36,4013
67,12000,1,1,31,32,04011,36,4011
87,15600,2,1,10,11,04104,36,4104
79,63000,2,1,22,22,03810,36,3810
76,40000,2,1,16,15,04104,36,4104
69,182500,2,1,10,9,04105,36,4105
76,136500,2,1,16,15,04013,36,4013
68,50000,2,1,17,17,04105,36,4105
83,21800,2,1,17,16,04112,36,4112
83,67300,2,1,13,13,04103,36,4103
77,49500,2,1,21,20,03806,36,3806
78,97000,2,1,18,18,04103,36,4103
75,8300,2,1,19,18,04015,36,4015
70,44200,2,1,66,66,04106,36,4106
81,22500,2,1,16,15,04104,36,4104
76,20100,2,1,18,18,04001,36,4001
74,26000,2,1,13,13,04017,36,4017
88,16200,2,1,17,17,04103,36,4103
86,50100,2,1,3,3,04103,36,4103
70,110900,2,1,16,16,04114,36,4114
74,21590,2,1,14,14,04110,36,4110
77,47800,2,1,16,16,03901,36,3901
77,15000,2,1,16,16,04006,36,4006
77,50000,2,1,13,14,04017,36,4017
70,61800,1,1,12,12,04108,36,4108
80,36220,2,1,32,33,04003,36,4003
78,50700,2,1,19,19,03704,36,3704
74,71601,2,1,19,20,03806,36,3806
65,60000,2,1,17,17,03806,36,3806
75,43600,1,1,17,18,04105,36,4105
82,34000,1,1,19,19,03810,36,3810
87,1000,2,1,14,14,03805,36,3805
69,154830,2,1,9,9,04014,36,4014
83,30000,2,1,13,13,04105,36,4105
81,36700,2,1,17,16,04114,36,4114
68,34000,1,1,17,18,03901,36,3901
