AGEP,HINCP,TEN,SPORDER,PWGTP,WGTP,PUMA,state,puma_int
83,82200,2,1,17,17,04009,36,4009
69,99450,2,1,8,7,03901,36,3901
83,64700,2,1,17,17,03903,36,3903
76,40000,2,1,27,26,03903,36,3903
79,31500,2,1,20,20,04014,36,4014
82,12500,1,1,44,44,03702,36,3702
72,95700,2,1,23,22,03901,36,3901
85,16000,2,1,13,13,04101,36,4101
67,29800,1,1,14,14,04005,36,4005
70,40000,1,1,22,22,03902,36,3902
84,147500,1,1,19,18,03810,36,3810
74,42100,1,1,12,12,04017,36,4017
73,56300,1,1,12,11,04109,36,4109
70,96700,1,1,5,5,04101,36,4101
87,18800,2,1,13,13,04103,36,4103
70,38300,1,1,19,19,04101,36,4101
69,38200,2,1,9,10,04106,36,4106
85,35900,2,1,14,14,04105,36,4105
75,90600,1,1,12,11,04112,36,4112
75,70800,1,1,15,15,04002,36,4002
71,40300,2,1,14,15,04105,36,4105
85,65900,2,1,21,21,03807,36,3807
82,28900,2,1,14,14,04016,36,4016
82,15500,1,1,16,16,04108,36,4108
86,30700,2,1,17,17,04104,36,4104
69,42000,2,1,16,15,04007,36,4007
72,109300,2,1,9,9,04112,36,4112
83,22000,2,1,28,28,03703,36,3703
73,44200,2,1,22,22,04014,36,4014
71,110000,1,1,27,27,04009,36,4009
75,149600,2,1,18,18,03802,36,3802
81,18100,2,1,19,19,03903,36,3903
84,12200,2,1,37,37,04103,36,4103
67,31100,1,1,21,21,03805,36,3805
73,60000,2,1,12,12,04013,36,4013
83,47600,1,1,14,14,04014,36,4014
75,25970,2,1,25,24,04103,36,4103
67,39700,1,1,11,10,04107,36,4107
77,122500,2,1,12,12,04109,36,4109
67,90400,2,1,11,12,04003,36,4003
72,70800,2,1,19,18,03701,36,3701
94,20800,2,1,15,14,04101,36,4101
75,27400,2,1,17,17,03903,36,3903
69,47000,1,1,30,30,04010,36,4010
66,218000,2,1,18,18,03805,36,3805
69,130800,1,1,18,18,03902,36,3902
